epoch,loss,accuracy
1,4.787720258076986,0.008
2,4.787627259572347,0.008333333333333333
3,4.787536172231039,0.007583333333333333
4,4.787414609273275,0.008333333333333333
5,4.787225051879883,0.008333333333333333
6,4.786926244099935,0.00925
7,4.786156604766846,0.010833333333333334
8,4.7826393699646,0.009916666666666667
9,4.741966733296712,0.010416666666666666
10,4.697888336181641,0.01425
11,4.682749059041341,0.01575
12,4.629055113474528,0.017333333333333333
13,4.5583004430135095,0.021333333333333333
14,4.496206675211589,0.024833333333333332
15,4.446677806854248,0.025916666666666668
16,4.409824643452962,0.028666666666666667
17,4.322756343841553,0.037083333333333336
18,4.258457010904948,0.041166666666666664
19,4.201939882278443,0.04841666666666666
20,4.161507506052653,0.04775
21,4.116492650349935,0.05608333333333333
22,4.058337977091472,0.06066666666666667
23,4.0091903711954755,0.06383333333333334
24,3.9728294633229573,0.06783333333333333
25,3.9223974113464357,0.07541666666666667
26,3.862685754776001,0.07833333333333334
27,3.832976841608683,0.08633333333333333
28,3.7841002877553302,0.08975
29,3.7322772782643634,0.09891666666666667
30,3.6899160499572754,0.09941666666666667
31,3.622906297683716,0.11333333333333333
32,3.5851033115386963,0.11408333333333333
33,3.523451890309652,0.13108333333333333
34,3.476245392481486,0.13825
35,3.4252750085194905,0.14675
36,3.3645384012858073,0.16008333333333333
37,3.3084366855621337,0.16566666666666666
38,3.243740640004476,0.17583333333333334
39,3.1642151737213133,0.19133333333333333
40,3.108456284205119,0.19991666666666666
41,3.0252495079040527,0.21675
42,2.9708192742665607,0.22175
43,2.879957083384196,0.24208333333333334
44,2.791668311436971,0.25766666666666665
45,2.706061924616496,0.2763333333333333
46,2.630827326138814,0.28191666666666665
47,2.5492498461405435,0.303
48,2.452451173146566,0.32416666666666666
49,2.3861123514175415,0.33516666666666667
50,2.2386045490900677,0.36816666666666664
51,2.14825856145223,0.39075
52,2.0927949371337893,0.40241666666666664
53,1.9634252630869546,0.4335
54,1.8641579230626424,0.45516666666666666
55,1.7685188287099203,0.469
56,1.6484568250974019,0.5064166666666666
57,1.5151943426132202,0.5451666666666667
58,1.432460086663564,0.5568333333333333
59,1.3351642168362936,0.5855833333333333
60,1.2396852350234986,0.6160833333333333
61,1.1460251293182373,0.6351666666666667
62,1.0498332467873892,0.665
63,0.9451957117716472,0.6956666666666667
64,0.8672415336767832,0.7235
65,0.7998678977489472,0.7409166666666667
66,0.7363863848050436,0.76375
67,0.6811083127657572,0.7760833333333333
68,0.5918256057898204,0.8035833333333333
69,0.539224148829778,0.8273333333333334
70,0.48407749632994335,0.8394166666666667
71,0.4608310136795044,0.8528333333333333
72,0.4680096578001976,0.8484166666666667
73,0.37796694874763487,0.8750833333333333
74,0.36487125092744827,0.88025
75,0.33238351649045944,0.8913333333333333
76,0.2723255020081997,0.9125
77,0.26215579187870025,0.915
78,0.270317519168059,0.91175
79,0.23352181378006936,0.9249166666666667
80,0.20961054991185665,0.9340833333333334
81,0.18415150921046733,0.943
82,0.19248731154700122,0.9413333333333334
83,0.19938911986351013,0.9335833333333333
84,0.18953554614384968,0.9390833333333334
85,0.183741891776522,0.94
86,0.1534386584063371,0.9485
87,0.1419041636126737,0.9551666666666667
88,0.09263922812913855,0.9720833333333333
89,0.11064814659580588,0.9663333333333334
90,0.1243405246026814,0.9594166666666667
91,0.09851442219689488,0.9691666666666666
92,0.08337268402675788,0.9746666666666667
93,0.0663409732375294,0.9786666666666667
94,0.08221578609322508,0.97425
95,0.09096356126169364,0.9709166666666667
96,0.08397495061097046,0.97325
97,0.05670248779219886,0.98175
98,0.0778391693023344,0.97525
99,0.09899858128403624,0.969
100,0.08620078126279017,0.9725833333333334
101,0.06428660369943827,0.9808333333333333
102,0.04373222683928907,0.9878333333333333
103,0.03531937160948291,0.9885
104,0.07739994909893722,0.9768333333333333
105,0.08722342236774663,0.9730833333333333
106,0.06475093584197263,0.9795833333333334
107,0.08099674640844266,0.9756666666666667
108,0.057005986864989006,0.9815
109,0.05128691596289476,0.9835833333333334
110,0.037152984883015355,0.99
111,0.032045723990847666,0.9898333333333333
112,0.03187163930588091,0.9903333333333333
113,0.022541488663293422,0.99325
114,0.05462797677703202,0.9829166666666667
115,0.052316535660764205,0.9845833333333334
116,0.03223580485287433,0.9909166666666667
117,0.05116186037504425,0.9846666666666667
118,0.03926251522048066,0.9881666666666666
119,0.06550613566301763,0.9796666666666667
120,0.03917776968919982,0.989
